LC_Language	Dil
LC_Gladcom_BlurredVision01	Bilgin olsun, bulanık görme herhangi bir test protokolünün parçası değildir, ama Aperture Science Değiştirilebilir Kalasları'nı yola dönüştürmenin istenmeyen bir yan etkisidir.<t:10>
LC_Gladcom_BlurredVision02	Bu işlem sırasında havaya salınan parçacıklar, bazı ender durumlarda, gözlükleri, kontak lensleri ve kornayı aşındırabilir.<t:9>
LC_Gladcom_CableAdvice	Sağlık ve hijyen protokolü için lütfen hiç fazla Çok Amaçlı Süper Kablo çözmeyin.<t:5>
LC_Gladcom_BraveDrivers	Cesur araç sürücüleri neredeyse her testi tamamladılar. Test etme işlemi tamamlandığında onların erdemli fedakarlıkları unutulmayacak.<t:8>
LC_Gladcom_TypeWriterMonkey	Tebrikler! Başarıların gösteriyor ki, sen gerçekten de 1000. daktilodaki 1000. maymunsun. Bunu kutlamak için, istediğin bir araç sürücüsünün elini sıkmana izin verilecek. Baş Koruyucu olarak yeniden atanman tamamlandı.
LC_Office_Intro_But	Ama...
LC_Office_Intro_Q01	Yani Aperture Science Araçla Engel Aşma Girişimi için Baş Koruyucu olarak yeniden atanmak istiyor musun?
LC_Office_Intro_Q01_A1	Başka bir seçenek var mı?
LC_Office_Intro_Q01_A1_Re	Evet, Fırın Denetmenliği ve hemen bugün başlayabilirsin!
LC_Office_Intro_Q01_A2	Evet, bilim için!
LC_Office_Intro_Q01_A2_Re	İşte aradığım ruh! Bizimkilerle aynı olduğu sürece prensiplerine hayranız.
LC_Office_Intro_Q02	Protokol uyarınca seninle bir röportaj yapmam gerekiyor. Sadece bir soru olacak. Hazır mısın?
LC_Office_Intro_Q02Alt	Gerekli röportaja başlamadan önce bir sorun var mı?
LC_Office_Intro_Q02_A2	Bir saniye! Soru ne olacak?
LC_Office_Intro_Q02_A2_Re	Soru... Dur bakalım, komiklik yapmaya mı çalışıyorsun sen!? Al o zaman sana komik bir soru: Sıcak bir havada vücut yere daha yavaş mı düşer? Dene ve bana dumanla bir işaret gönder.
LC_Office_Intro_Q03	Sen bilirsin. Şimdi söyle bakalım, hayat sana limon verirse ne yaparsın?
LC_Office_Intro_Q03Alt	Üzgünüm, ama protokol röportaj sırasında sorular sorulmasına izin vermiyor. Şimdi söyle bakalım, hayat sana limon verirse ne yaparsın?
LC_Office_Intro_Q03_A1	Limonata yaparım!
LC_Office_Intro_Q03_A1_Re	Güzel bir düşünce! Fırın turun bitince çok ferahlatıcı olur.
LC_Office_Intro_Q03_A2	Hayatı limonları geri almaya zorlarım!
LC_Office_Intro_Q03_A2_Re	Ailende hiç Johnsons var mı? Bizim ihtiyacımız olan Baş Koruyucu tutumu bu işte! Şimdi masana geri dön ve bizi gururlandır.
LC_Office_Intro_Start01	İnşaat dergileri okuyup çok kendini salma. İşe koyulma vakti geldi.
LC_Office_Intro_Start02	Güçlendirme Merkezi yönetmelikleri uyarınca tüm öğrencilerin bir dizi koruyucu yeterlilik testinden geçmesi gerekiyor. Endişelenme, bu deneme süresi boyunca maaş çeklerini güvenli bir şekilde muhafaza edeceğiz.
LC_Office_Intro_Start03	Bu ilk odalar dizisi senin inşa ve kısaltma yeteneklerini test edecek. Hazır mısın?
LC_Office_Intro_Start03Alt	Bu test odaları dizisi senin inşa ve kısaltma yeteneklerini test edecek. Altın Baş Koruyucu Şapkası'nı kazanmaya hazır mısın?
LC_Office_AfterLvlPack01_01	Tebrikler, Öğrenci #9723! İlk test aşamasını tamamlayarak teste devam etme hakkı kazandın.
LC_Office_AfterLvlPack01_02	Teste devam etmezsen bir sonraki yarı yıllık yeniden atama aşamasına kadar kovulacaksın.
LC_Office_AfterLvlPack02_01	Tebrikler! Eski bir öğrenci Baş Koruyucu çırağı olarak artık yiyecek ve yapay güneş ışığı almaya hak kazandın.
LC_Office_AfterLvlPack02_02	Ayrıca, devamlı test programımıza kaydedileceksin.
LC_Office_AfterLvlPack03_01	Harika iş çıkardın! Göstermiş olduğun büyük çaba nedeniyle sana yeni Önemsizlik Ötesi rütbesini gururla takdim ediyoruz.
LC_Office_AfterLvlPack03_02	Bu sana bazı kahve taşıma ve ayrıca ek test sorumlulukları veriyor.
LC_Office_AfterLvlPack04_01	Tebrikler! Aperture Science Araçla Engel Aşma Girişimi'ne resmi olarak ön kabulün gerçekleşti.
LC_Office_AfterLvlPack04_02	Kabul şartlarını karşılamak için aşağıdaki isteğe bağlı 10 odanın hepsini tamamla.
LC_Office_AfterLvlPack05_01	Artık eksiksiz bir Baş Koruyucu adayı olarak kabul ediliyorsun!
LC_Office_AfterLvlPack05_02	Bu ısrarında herhangi bir zihinsel hasarın etkisi olmadığından emin olmak için ilerlemeni bu son test dizisinde takip etmeyi sürdüreceğiz.
LC_Office_AfterLvlPack06_01	Muhteşem! Tüm test planını tamamlayan ilk kişi oldun.
LC_Office_AfterLvlPack06_02	Ulusal ve yerel yasal düzenlemeler uyarınca Aperture Science Araçla Engel Aşma Girişimi'nin artık bulunması gerekiyor.
LC_Office_AfterLvlPack06_03	Başka Aperture çalışanları yeniden atanana kadar tek Baş Koruyucu olarak görevlerin: Baş Mimar, Yardımcı Mimar, Ustabaşı ve Niteliksiz İşçi...
LC_Office_AfterLvlPack06_04	...Araç Sürücüsü, Araç Yardımcı Sürücüsü, Araç Sürücüsü ve onun ailesinin Psikoloji Terapisti, Araç Sürücüsü Tasfiyesi ve Kahve Taşıma Yetkilisi.
LC_Office_AfterLvlPack06_05	TBD
LC_BestPract_Triangles01	Üçgenler
LC_BestPract_Triangles	"İnşaatlarını üçgenler kullanarak tamamla.\n\nBöylece sabit yapılara sahip olursun."
LC_BestPract_Reinforce01	Baskıyı dağıtmak için şunları dene:
LC_BestPract_Reinforce02	destek direkleri sayısını artır
LC_BestPract_Reinforce03	kardeş destek direkleri
LC_BestPract_Reinforce04	birkaç inşaat yöntemini birleştir
LC_BestPract_ShallowAngles01	Sığ açılar verimli değildir.
LC_BestPract_ShallowAngles02	Baskı inşaatı aşağı çekiyor, ama kablo inşaatı sadece yana çekiyor = inşaatı ayakta tutma konusunda çok az bir etkisi var.
LC_BestPract_ShallowAngles03	Yeniden döşenen bir kablo inşaatı yer çekiminine karşı tutabilir.
LC_BestPract_Arches01	Her kemer verimli değildir.
LC_BestPract_Arches02	Eğer kemerler çok sığ veya çok dik olursa gerilim yeterince eşit şekilde dağılmaz.
LC_BestPract_Arches03	Doğru açı, gerginliği iyi bir şekilde dağıtır.
LC_BestPract_Arches04	Kemerli bir yol ek destek sağlar.
LC_BestPract_PelletAngles01	Etki alanı ve yansıtma açıları
LC_BestPract_PelletAngles02	Yüksek enerji toplarını yansıtmaya çalışırken etki alanının açısının yansıtma açısına eşit olduğunu unutma.
LC_BestPract_SuspBridgePart1_Header	Asma Köprüler için İpuçları - 1. Bölüm
LC_BestPract_SuspBridgePart2_Header	Asma Köprüler için İpuçları - 2. Bölüm
LC_BestPract_SuspBridgePart1_01	"Bir asma köprü çok basit olabilir.\nBazen bunu farklı sebeplerle geliştirmen gerekir:"
LC_BestPract_SuspBridgePart1_02	"Sabitliği, sertliği ve süspansiyonu artırmak için direkler ekle.\nBu, toplam ağırlığı da artırarak istenmeyen \nsavrulmaları azaltacak."
LC_BestPract_SuspBridgePart1_03	Daha da yüksek bir katılık gerekiyorsa yolun altına kemerli yapılar ekle.
LC_BestPract_SuspBridgePart2_01	Kemerleri, yolu herhangi bir süspansiyon oluşturmanın mümkün olmadığı yanlara doğru uzatmak için kullan.
LC_BestPract_SuspBridgePart2_02	Köprü üzerindeki darbeyi azaltmak için aracın düşüş yüksekliğini kısa tutmaya çalış.
LC_BestPract_Stiffening_Header	Salınımlı köprüler
LC_BestPract_Stiffening01	"Basit inşaatlar pek çok durumda yeterli olabilir.\nAma, üzerlerinden araçlar geçmeye başladığında güçlü bir şekilde zıplamaya başlayabilirler."
LC_BestPract_Stiffening02	Bu durum, konvoyda bulunan aşağıdaki aracın hareketlerinin büyük ölçüde değişmesine neden olabilir.
LC_BestPract_Stiffening03	Daha fazla direk ekleme ve tersten destekleme sana zıplamayı azaltma ve konvoydaki tüm araçlar için daha tutarlı koşullar oluşturma imkanı verir.
LC_GamersNetwork_Logout_Warning	{GamersNetworkName} hesabından çık?
LC_Tut_Simulate_Reminder	"Unutma: \nTest modu sana köprülerini araçlar olmadan test etme imkanı sunar ve ayrıca otomatik olarak tetiklenen küplere ve toplara giden yolları gösterir."
LC_General_Open	Aç
	
LC_Start_Menu_AdjustScreen	Görüntüyü Ayarla
LC_AdjustScreen_Cancel	İptal
LC_AdjustScreen_Move	Pencereyi Hareket Ettir
LC_AdjustScreen_Resize	Pencereyi Yeniden Boyutlandır
LC_AdjustScreen_Save	Kaydet
LC_AdjustScreen_Description	Yeşil çizgileri ekran sınırlarına uyacak şekilde pencereyi ayarla.
LC_NoUserLoggedInMessage	Hiçbir Xbox oyuncusu oturum açmadı. Kayıtlı oyunun kaybolacak!
	
LC_Tut_Xbox_Track_Reminder	"Unutma:\nİnşa ettiğin herhangi bir bileşeni bir yola dönüştürme veya tam tersi işlemi tek bir hareketle yapabilirsin.\n<color=#7faeff>Oyun Kumandası: A</color>"
LC_Tut_Xbox_AccelerateCursor	"İpucu:\nİnşaat modunda imleci hızlandırmak için <color=#7faeff>sağ üst tuşu</color> basılı tut."
LC_SavegameSlot_SR	Son Tek Tur
LC_SavegameSlot_MR	Son Konvoy Turu
LC_SavegameSlot_Token	Yuva {0}
LC_Controls_MoveCam	Kamerayı hareket ettir
LC_Controls_MoveCursor	İmleci hareket ettir
LC_Controls_Zoom	Yakınlaştırma
LC_Controls_ZoomIn	Yakınlaştır
LC_Controls_ZoomOut	Uzaklaştır
LC_Controls_Undo	Geri Al
LC_Controls_PrecisionMode	Hassasiyet modu
LC_Controls_Build	"İnşa\nGeçiş: Yol <> Direk"
LC_Controls_MoveJoint	Bağlantı noktasını hareket ettir
LC_Controls_Simulate	İnşaatı test et
LC_Controls_Cancel	İnşaatı iptal et
LC_Controls_Delete	Sil
LC_Controls_Menu	Menü
LC_Controls_AutoStrut	Tüm destekleri inşa et
LC_Controls_MatPanel	İskele Kalasları
LC_Controls_MatCable	Süper Kablo
LC_Controls_Start1	Aracı çalıştır
LC_Controls_Start2	Konvoy çalıştır
LC_Controls_MatToggle	Malzemeyi değiştir
LC_Controls_BuildMode	İnşaat modu
LC_Controls_Save	Köprüyü kaydet
LC_Controls_Load	Köprüyü yükle
LC_Controls_Pause	Araçlar duraklat
LC_Controls_MoveCamTouch	Kamerayı oynatmak için bir yere sürükle
LC_Controls_ZoomTouch	Yakınlaştırmak için sıkıştır
LC_Controls_BuildTouch	İnşa etmek için ankor veya bağlantı noktasından sürükle
LC_Controls_MoveJointTouch	Bir bağlantı noktasını oynatmak için dokun, bekle ve sürükle
LC_Controls_ConvertTouch	Yol ile direk arasında geçiş yapmak için dokun
LC_Controls_DeleteTouch	Bir ögeyi silmek için ona iki kez dokun
LC_LevelPack01	Merhaba aday 9723!
LC_LevelPack02	Bir ızgara planı
LC_LevelPack03	Acı verici deneyimler
LC_LevelPack04	Günün Çalışanı
LC_LevelPack05	Etkinliğin ufku
LC_LevelPack06	Dünyanın sonu
LC_LevelTitle01	İlk köprüm
LC_LevelTitle02	Yokuşlar
LC_LevelTitle03	Kuantum Tüneli
LC_LevelTitle04	Boyalar
LC_LevelTitle05	Kemerler
LC_LevelTitle06	Kesitler
LC_LevelTitle07	Saplama
LC_LevelTitle08	Dikey Düşüş
LC_LevelTitle09	Süper Çarpışma Süper Düğmesi
LC_LevelTitle10	Küp Sapması
LC_LevelTitle11	Ateş Altında
LC_LevelTitle12	Yoğun Ateş Altında
LC_LevelTitle13	Bir kartal gibi uç
LC_LevelTitle14	Küp Taret'e Karşı
LC_LevelTitle15	İtici Güç Jeli 01
LC_LevelTitle16	İtici Güç Jeli 02
LC_LevelTitle17	Zıpla yavrum!
LC_LevelTitle18	Öldürmek için zıpla
LC_LevelTitle19	Yüksek Enerji Topu 01
LC_LevelTitle20	Yüksek Enerji Topu 02
LC_LevelTitle21	İleri Geri
LC_LevelTitle22	Bir Hız Tutkusu
LC_LevelTitle23	Sarmal
LC_LevelTitle24	Sadık Yol Arkadaşı
LC_LevelTitle25	Çift Yönlü Trafik
LC_LevelTitle26	Uçuş koordinatlarını değiştir!
LC_LevelTitle27	Top ileri!
LC_LevelTitle28	Kafalarına
LC_LevelTitle29	Zıpla, zıpla!
LC_LevelTitle30	Hava Gösterisi
LC_LevelTitle31	Geri Sar
LC_LevelTitle32	Kaçınma Ateşi
LC_LevelTitle33	İlk buluşmada öpüşme
LC_LevelTitle34	Dikey Sınırlar
LC_LevelTitle35	Küp Zıplaması
LC_LevelTitle36	Eşsiz Değil
LC_LevelTitle37	Tam Gaz
LC_LevelTitle38	Taret Merdiveni
LC_LevelTitle39	Hava Tenisi
LC_LevelTitle40	Zamanlama her şeydir
LC_LevelTitle41	Zıplama Arkadaşları
LC_LevelTitle42	Küp Çinkosu
LC_LevelTitle43	Portal Bolluğu
LC_LevelTitle44	Küp Sanatçısı
LC_LevelTitle45	Top Fırtınası
LC_LevelTitle46	Örgü
LC_LevelTitle47	Zıplazıplazıpla
LC_LevelTitle48	Kontrol Merkezi
LC_LevelTitle49	Taret Kasabası
LC_LevelTitle50	Evden Çok Uzakta
LC_LevelTitle51	Dengeli
LC_LevelTitle52	Geriye
LC_LevelTitle53	Geçitler!
LC_LevelTitle54	Beynini eğit
LC_LevelTitle55	Zıplayan Küpler
LC_LevelTitle56	İnanılmaz Düğmeler
LC_LevelTitle57	Altı Hikaye Hikayesi
LC_LevelTitle58	Paranın Küçük Bir Karşılığı
LC_LevelTitle59	Tam Tur Devam
LC_LevelTitle60	Beyin Nakli
LC_LevelTitle61	Zıplama Cehennemi
LC_LevelTitle62	Küp Çinkosu 2
LC_LevelTitle63	Top Yolculuğu
LC_LevelTitle64	Kesit Şehri
LC_TheLie	Şapka diye bir şey yok.
LC_TheLieAlt	Kitaplık diye bir şey yok.
LC_TheLieAlt2	
LC_TheLieAlt3	
LC_Tut_SimulateButton01	İnşaatlarının sabitliğini araçlar olmadan test etmek için Test Modu'nu kullan.
LC_Tut_SimulateButton02	İpucu: Test modu sana köprülerini araçlar olmadan test etme imkanı sunar ve ayrıca otomatik olarak tetiklenen küplere ve toplara giden yolları gösterir.
LC_Tut_SimulateButton03	İpucu: Test modu ayrıca, otomatik olarak tetiklenen küplere ve toplara giden yolları simüle eder.
LC_Tut_SimulateButton04	Araçlar tarafından tetiklenmeyen küpler ve toplar Test Modu içinde de görünürler.
LC_Tut_PauseButton	Duraklatma düğmesi sana, simülasyon sırasında inşaatının çökme analizini yapma imkanı sunar.
LC_TheLieAlt4	Altın Paspas Diye Bir Şey Yok
LC_LevelTitle45Alt	Küpleri Rahat Bırak
LC_LevelTitle47Alt	Arabaları Rahat Bırak
	
	
	
	
	
	
	
	
	
	
	
	
	
