"lang"
{
"Language"	"turkish"
"hubannouncer_event_shootmen_05"	"Uyarı, Cep Evreni Laboratuvarı Sekiz: Bir güvenlik şikayeti doldurmak için, lütfen laboratuarın çıkış kapısının hemen dışındaki Yerleşimsel Şikayet Kutusunu bulun."
"[english]hubannouncer_event_shootmen_05"	"Attention, Pocket Universe Lab Eight: To file a safety complaint, please find the Occupational Grievance Drop Box just outside the laboratory exit door."
"hubannouncer_event_shootmen_06"	"Cep Evreni Laboratuvarı Sekiz'in temizlenmesi gerekiyor. Lütfen düzenli olun."
"[english]hubannouncer_event_shootmen_06"	"Cleanup needed in Pocket Universe Lab Eight. Please be discrete."
"hubannouncer_event_shootmen_07"	"Kanıt Yok Etme Mühendisleri, yetkililerin gelmesi durumunda lütfen Cep Evreni Laboratuvarı Sekize gidin."
"[english]hubannouncer_event_shootmen_07"	"Evidence Dispersal Engineers please report to Pocket Universe Lab Eight in advance of the authorities."
"hubannouncer_event_shootmen_08"	"Cep Evren Laboratuvarı Sekiz'de kanıt dağıtımı gerekmektedir. Hızlıca."
"[english]hubannouncer_event_shootmen_08"	"Evidence dispersal needed in Pocket Universe Lab Eight. Quickly."
"hubannouncer_event_shootmen_rare_01"	"Cep Evreni Laboratuvarı Sekiz'de kötülüğün filozofik tanımı keşfedildi. Cep Evreni Laboratuarı Sekiz'e tebrikler."
"[english]hubannouncer_event_shootmen_rare_01"	"The philosophical concept of evil has just been discovered in Pocket Universe Lab Eight. Congratulations to Pocket Universe Lab Eight."
"hubannouncer_event_shootmen_rare_02"	"Cep Evren Laboratuvarı Sekiz'de cinayet icat edilmiştir. Cep Evren Laboratuvarı Sekiz'e tebrikler."
"[english]hubannouncer_event_shootmen_rare_02"	"Murder has been invented in Pocket Universe Lab Eight. Congratulations to Pocket Universe Lab Eight."
"hubannouncer_event_balloons_01"	"Cep Evren Laboratuvarı Sekiz'in atmosferinde aşırı helyum algılandı."
"[english]hubannouncer_event_balloons_01"	"Excess helium detected in atmosphere of Pocket Universe Lab Eight."
"hubannouncer_event_balloons_02"	"Uyarı: Cep Evren Laboratuvarı Sekiz'deki Helyum riskli seviyede."
"[english]hubannouncer_event_balloons_02"	"Warning: Helium levels in Pocket Universe Lab Eight are rising."
"hubannouncer_event_fetch_01"	"Cep Evren Laboratuvarı Sekiz'de eşyayı geri alma çekirdeği başarıyla test edildi."
"[english]hubannouncer_event_fetch_01"	"Item retrieval core successfully tested in Pocket Universe Lab Eight."
"hubannouncer_event_fetch_02"	"Cep Evreni Laboratuvarı Sekiz'de arkadaşlık keşfedildi. Cep Evreni Laboratuarı Sekiz'e tebrikler."
"[english]hubannouncer_event_fetch_02"	"Friendship has just been discovered in Pocket Universe Lab Eight. Congratulations to Pocket Universe Lab Eight."
"hubannouncer_event_fetch_03"	"Cep Evren Laboratuvarı Sekiz'de nesne alma eğitimi devam etmekte."
"[english]hubannouncer_event_fetch_03"	"Object retrieval training underway in Pocket Universe Lab Eight."
"hubannouncer_event_fetch_04"	"Cep Evren Laboratuvarı Sekiz'de yeni en iyi arkadaş az önce keşfedildi. Tebrikler Test Gezgini."
"[english]hubannouncer_event_fetch_04"	"New best friend has just been discovered in Pocket Universe Lab Eight. Congratulations, Test Traveler."
"hubannouncer_event_fetch_05"	"Cep Evreni Laboratuvarı Sekiz'de yapay ve uygunsuz sevgi keşfedildi. Tebrikler, Test Gezgini."
"[english]hubannouncer_event_fetch_05"	"Artificial, unconditional love has just been discovered in Pocket Universe Lab Eight. Congratulations, Test Traveler."
"hubannouncer_event_fetch_rare_01"	"İyi köpek kimmiş bakayım? Sensin. Sensin iyi köpek."
"[english]hubannouncer_event_fetch_rare_01"	"Who's a good dog? You are. You're a good dog."
"Xortex_Max"	"MAKS."
"[english]Xortex_Max"	"MAX"
"hubannouncer_event_ambient_01"	"Eşzamanlı paralel evrenler arasında kurulmuş yeni, tamamen teorik bir köprü, Cep Evreni Laboratuvarı Seksen-Beşte test edilmeye hazır."
"[english]hubannouncer_event_ambient_01"	"A new, entirely theoretical bridge between contemporaneous parallel universes is now available for testing in Pocket Universe Lab Eighty-Five."
"hubannouncer_event_ambient_02"	"Uyarı: Cep Evren Laboratuvarı Üç'ün Flamm-Krypton deneyi sizi gezegen yiyen radyoaktif bir balinanın magma dolu alt bağırsak yoluna götürecek. Test Gezginleri Flamm-Krypton Deneyi geçişini hemen durdurmamızı istemişlerdi."
"[english]hubannouncer_event_ambient_02"	"Warning: Experiment Flamm-Krypton in Pocket Universe Lab Three leads to the magma-filled lower intestinal tract of a planet-eating radioactive whale. Test Travelers are asked to immediately discontinue transit to Experiment Flamm-Krypton."
"hubannouncer_event_ambient_03"	"Uyarı. Fermi-Cathode Deneyinde negatif kütle sızıntısı. Lütfen kütle yoğunluğu sıfıra ya da sıfırın üstüne ulaşana kadar Cep Evreni Laboratuvarı Yirmi-Sekizi boşaltın."
"[english]hubannouncer_event_ambient_03"	"Warning: Negative mass leak in Experiment Fermi-Cathode. Please evacuate Pocket Universe Lab Twenty-Eight until mass density returns to zero or higher."
"hubannouncer_event_ambient_04"	"Bir sonraki bildiriye kadar tüm maddeden oluşan Test Gezginleri Sagan-Vertex deneyine girmekten kaçınmalıdır. Tüm antihidrojenden oluşan ve parçacık hızlandırmaya maruz kalan Test Gezginleri, lütfen Sagan-Vertex Deneyine rapor verin."
"[english]hubannouncer_event_ambient_04"	"Test Travelers made of matter should discontinue entering Experiment Sagan-Vertex until further notice. All partically accelerated Test Travelers made of antihydrogen please report to Experiment Sagan-Vertex."
"hubannouncer_event_ambient_05"	"Uyarı: Veriler Swan-Radar Deneyinin yerçekimsel tekilliğe gönderdiğini gösteriyor. Teorik olmayan birer kütleye sahip tüm Test Gezginleri, Swan-Radar Deneyine girmekten sakınmalıdır."
"[english]hubannouncer_event_ambient_05"	"Warning: Data suggests Experiment Swan-Radar leads to a gravitational singularity. Test Travelers with non-theoretical mass are discouraged from entering Experiment Swan-Radar."
"hubannouncer_event_ambient_06"	"Uyarı: Cep Evreni Laboratuvarı Kırk-Yedideki bir heykel bilinç kazandı ve şu anda kafası karışık ve saldırgan. Lütfen Cep Evreni Laboratuvarı Kırk-Yedideki hiçbir heykele sesinizi yükseltmeyin veya göz teması kurmayın."
"[english]hubannouncer_event_ambient_06"	"Warning: A relic in Pocket Universe Lab Forty-Seven has become self-aware and is confused and hostile. Please do not raise your voice at or make eye contact with any relics in Pocket Universe Lab Forty-Seven."
"hubannouncer_event_ambient_07"	"Bir tetra-kuarkın bir gluon ile savaşmasını izlemek isteyen tüm kuantum kromodinamik araştırmacıları, lütfen Cep Evreni Laboratuvarı Doksan-Sekize rapor edin."
"[english]hubannouncer_event_ambient_07"	"All quantum chromodynamic researchers interested in watching a tetra-quark fight a gluon, please report to Pocket Universe Lab Ninety-Six."
"hubannouncer_event_ambient_08"	"Bir sonraki bildiriye kadar \"önemli\" olarak sayılan hayati organlara sahip Test Gezginleri Kepler-Photon Deneyine gitmekten kaçınmalıdır."
"[english]hubannouncer_event_ambient_08"	"Test Travelers containing organs that would be considered 'vital' to their survival should avoid test-transit to Experiment Kepler-Photon until further notice."
"hubannouncer_event_ambient_09"	"Tehlike: Michelson-Pluto deneyi binary kodu dayalı bir yıldız sisteminde bulunuyor. Bunların ikisi de şu anda Tip Bir ve Tip Üç süpernovalar içinde patlıyorlar. Michelson-Pluto Deneyine giden tüm yollar boyunca koruyucu gözlük kullanılması tavsiye edilir."
"[english]hubannouncer_event_ambient_09"	"Warning: Experiment Michelson-Pluto leads to a binary star system, both of which are currently exploding in Type One and Type Four supernovae, respectively. Protective eyewear is recommended for all test-transit to Experiment Michelson- Pluto."
"hubannouncer_event_balloonsmax_01"	"Cep Evren Laboratuvarı Sekiz'in atmosferinde aşırı helyum algılandı."
"[english]hubannouncer_event_balloonsmax_01"	"Excess helium detected in atmosphere of Pocket Universe Lab Eight."
"Tooltip_Nav"	"Gezinme"
"[english]Tooltip_Nav"	"Navigate"
"Tooltip_GoToLab"	"Laboratuvara git"
"[english]Tooltip_GoToLab"	"Go to the Lab"
"Tooltip_PickUp"	"Seç"
"[english]Tooltip_PickUp"	"Pick Up"
"Tooltip_System"	"Sistem"
"[english]Tooltip_System"	"System"
"Tooltip_Lasers"	"Lazerler"
"[english]Tooltip_Lasers"	"Lasers"
"Slingshot_Restart"	"YENİDEN BAŞLAT"
"[english]Slingshot_Restart"	"RESTART"
"VO_Speaker_Announcer"	"Spiker: "
"[english]VO_Speaker_Announcer"	"Announcer: "
"NoScore_Offline"	"Steam Sıralama Listelerine bağlanılıyor..."
"[english]NoScore_Offline"	"Connecting to Steam Leaderboards..."
"NoScore_Unplayed"	"Sıralamanın ne olduğunu görmek için bir raunt oyna!"
"[english]NoScore_Unplayed"	"Play a round to see where you rank!"
"NoScore_Xortex"	"Bağlanılıyor..."
"[english]NoScore_Xortex"	"Connecting..."
"Planets_Mercury"	"Merkür"
"[english]Planets_Mercury"	"Mercury"
"Planets_Venus"	"Venüs"
"[english]Planets_Venus"	"Venus"
"Planets_Earth"	"Dünya"
"[english]Planets_Earth"	"Earth"
"Planets_Mars"	"Mars"
"[english]Planets_Mars"	"Mars"
"Planets_Jupiter"	"Jüpiter"
"[english]Planets_Jupiter"	"Jupiter"
"Planets_Saturn"	"Satürn"
"[english]Planets_Saturn"	"Saturn"
"Planets_Uranus"	"Uranüs"
"[english]Planets_Uranus"	"Uranus"
"Planets_Neptune"	"Neptün"
"[english]Planets_Neptune"	"Neptune"
"Window_NoHeadset"	"BAŞLIK BULUNAMADI"
"[english]Window_NoHeadset"	"HEADSET NOT FOUND"
"Window_Loading"	"YÜKLENİYOR..."
"[english]Window_Loading"	"LOADING..."
"Xortex_PickUpDroneFloater"	"GEMİNİZİ SAVUNUN"
"[english]Xortex_PickUpDroneFloater"	"DEFEND YOUR SHIP"
"Tooltip_PickUpSticks"	"Çubukları Al"
"[english]Tooltip_PickUpSticks"	"Pick Up Sticks"
}
}
