"lang"
{
"Language""english"
"Tokens"
{
//Neccessities
"CaptionMod_GameSaved"	"Oyun Kaydedildi..."
"ro_plfear4"	"Git buradan!"
"ro_rug"	"Suçluların halınızı 'kirleten' kişiler olabileceğinden şüpheleniyor ve bu şüpheyi doğrulamak ya da çürütmek için eşsiz bir konumdasınız."
"ro_scared0"	"Tanrım! Ne yapıyorsun?"
"ro_scared1"	"Hemen saldırmayı kes!"
"ro_scared2"	"Deli misin? O bir dost!"
"ro_stop2"	"Devam etmeden önce biraz dinlenmem gerek."
"ro_wait0"	"Ara vermek için zamanımız yok. Devam etmeliyiz."
"ro_wait1"	"Dinlenmenin zamanı değil. Devam etmeliyiz."
"ro_wait2"	"Burada bekleyeceğim."
"ro_wait3"	"Burada kalacağım ama acele et."
"ro_wait4"	"Evet, belki de sen biraz önden gitmelisin. Beni unutmayasın."
"ro_wound0"	"Yaralanmışa benziyorum ama devam edebilirim."
"ro_wound1"	"Pek iyi değilim ama yapabilirim."
"ro_xen_call1"	"Calhoun, acele etmelisin! Geçidi daha fazla açık tutamayız."

//VOX
"HT01_0"	"Dikkat. Dr. Freeman, Olağanüstü Maddeler Laboratuvarı'na gelin."
"HT01_1"	"Dr. Cross ve Dr. Green, Olağanüstü Maddeler İşlemler Merkezi'ne bekleniyorsunuz."
"HT01_2"	"Tüm güvenlik personeli, yetki seviyenizi Müfettiş White’a onaylatın."
"HT01_3"	"Dikkat. Bilim Ekibi, Olağanüstü Maddeler laboratuvarında arıtma gerekmektedir."
"HT01_4"	"Dikkat. Yüzey iznine yönetim tarafından henüz onay verilmedi."
"HT01_5"	"Uyarı. Çevreleme alanı sistemlerini devre dışı bırakmayın."
"HT01_6"	"Duyuru. Yüzey uydu iletişimi çanağı devre dışı bırakıldı."
"HT01_7"	"Lazer çevreleme sistemine denetim çalışanının erişimi yasaktır."
"HT01_8"	"Duyuru. Atık ortadan kaldırma denetimi 1:35'te devam edecek."
"HT01_9"	"Olağanüstü Maddeler deneyi yetkisiz çalışana açık değildir."
"HT05_0"	"Dikkat. Tüm bilim çalışanları, Seviye 3'ü derhal boşaltın."
"HT05_1"	"Dikkat. Bu duyuru sistemi artık askeri komuta altındadır."
"HT05_2"	"Dikkat. Black Mesa Duyuru Sistemi artık askeri komuta altında."
"HT05_3"	"Dikkat. Bilim Ekibi, derhal en yakın güvenlik kontrol noktasına gidin."
"HT05_4"	"Dikkat. Tüm askeri personel, Seviye 3'te izinsiz bir kişi tespit edildi."
"HT05_5"	"Dikkat. Tüm bilim personeli, derhal kuzey ulaşım platformuna gidin."
"HT05_6"	"Uyarı. Havalandırma sisteminde yetkisiz biyolojik yapılar tespit edildi."
"HT05_7"	"Charlie Ekibi, Bravo-Foxtrot-Johnson tesisinin güvenli olduğunu bildiriyor."
"HT05_8"	"Arama ve Yok Etme Ekibi Alpha, ikincil hedefin sona erdiğini bildiriyor."
"CROSSDOOR"	"Dr. Cross, erişim izni verildi."
"GREENDOOR"	"Dr. Green, erişim izni verildi."
"GREENDOOR2"	"Dr. Green, erişim reddedildi."

//Scientists
"crossgreen"	"Doktor Cross. Doktor Green."
"d01_sci01_waiting"	"Günaydın. Sizi denetim odasında bekliyorlar."
"d01_sci02_door"	"Oh, kapıyı sizin için açayım. Sizi bir sonraki odada güvenlik sistemine geri alabileceklerdir."
"d01_sci03_reregister"	"Merhabalar! Görünüşe göre bugünkü sistem çöküntüsünde sizin verilerinizde kayıp yaşanmış. Endişelenecek bir şey yok, sizi bu istasyonda tekrar kayıt edebilirim. Kabine tek tek girin ve işlemi başlatayım."
"d01_sci04_oneatatime"	"Teker teker, lütfen."
"d01_sci05_bestillcross"	"Lütfen işlem sırasında sabit durun. Merak etmeyin, Doktor Cross, birkaç saniyenizi alacak."
"d01_sci06_dontmovegreen"	"Lütfen ben güvenlik veritabanına tekrar kayıt etmek için tararken hareket etmeyin. Farkına varmadan bitiverecek, Doktor Green."
"d01_sci07_spectrometer"	"Anti-Kütle Tayfölçeri'ni devreye sokup yüzde seksene getirmeni istiyoruz."
"d01_sci08_pushsample"	"Örneği asansöre itme nezaketinde bulunursan, deneyi başlatabiliriz."
"d01_sci09_pushsample2"	"Deneyin devam edebilmesi için örnek sepetini asansöre itmeniz gerekiyor."
"d01_sci10_interesting"	"İlginç."
"d01_sci11_shouldnthappen"	"Böyle olmaması gerekiyor."
"d01_sci12_impossible"	"Yani, teorik olarak bu imkansız."
"d01_sci13_jammed"	"Hım, peki. Bir şey sıkışmış olmalı. Deney odasındaki asansör düzeneğine engel olan bir şey var mı bak. Asansörü buradan yönetmeye çalışmaya devam edeceğim."
"d01_sci14_right"	"Tabi."
"d01_sci15_onschedule"	"Ah, harika. Her şey yolunda gibi görünüyor ve deney de kısa süre sonra başlayacak. Hoparlörü açık bırakıyorum, böylelikle yukarıda olup biteni duyabilirsiniz."
"d01_sci16_standby"	"Bekleyin."
"d01_sci17_secondary"	"İkincil manyetik yükleyiciler devrede ve makul seviyede çalışıyor."
"d01_sci18_wontshutdown"	"Kapanmıyor!"
"d08_sci01_idnumber"	"Ah, yalnızca Gordon'ın HEV giysisinin kimlik numarasını biliyorum. Başka bilmiyorum. Beni bırakır mısınız?"
"helloladies"	"Merhaba hanımlar. Sizi görmek çok güzel."
"icanhelp"	"Sanırım yardım edebilirim."
"idiotic"	"Ne? Hayır! Bunu sormak aptalca."
"safetyinnumbers"	"'Birlikten güç doğar' sözünü hiç duymadın mı?"
"shesgonemad"	"Biri yardım etsin! Kadın delirdi!"
"sunsets"	"Senin eğlence anlayışın bu olabilir ama ben güneş batarken kumsalda uzun yürüyüş yapmayı tercih ederim."
"thatsmell"	"Bu koku, eh... İlginç."
"ties"	"En azından farklı kravat takmamıza izin verebilirler. Bu üniforma politikasını gerçekten anlamıyorum."
"underbarrel"	"Sıkıntılı iş sırası sende değil mi?"
"undertest"	"Şimdiye kadar deney odasının altında olman gerekmiyor muydu?"
"keller"	"Dr. Keller seni aramıyor muydu?"
"assist"	"Yardım etmen gereken bir deney olduğuna inanıyorum."
"c1a0_sci_dis1d"	"Çok güzel... buradan sonrasını biz halledeceğiz."
"c1a0_sci_dis2a"	"Birinci kademe yayıcılara güç veriliyor: 3... 2... 1..."
"c1a0_sci_dis3a"	"Öngörülebilir safha dizileri gözlemliyorum."
"c1a0_sci_dis5a"	"İkinci kademe yayıcılar devreye giriyor... girdi."
"c1a0_sci_dis10a"	"Gordon, sistem bu seviyede ne kadar kalabilir ya da okuma işlemi ne kadar sürer kestiremiyoruz. Lütfen, olabildiğince hızlı çalış."
"c1a0_sci_dis9a"	"Yoğunlaçlar %105'e çıkartılıyor."
"c1a0_sci_dis11a"	"Ah, muhtemelen bir sorun değildir, muhtemelen... ama ufak uyuşmazlıklar görüyor... Neyse, tamam. Tekrar kabul edilebir seviyeye geri döndü. Devam ediliyor."
"c1a0_sci_dis6a"	"Az önce örneğin hazır olduğu konusunda bilgilendirildim, Gordon. Her an sana doğru yola çıkmış olabilir. Örnek için taşıma sistemine göz at."
"c1a0_sci_dis16a"	"Gordon! Işından uzaklaş!"
"c1a0_sci_dis15a"	"Kapatılıyor! Kapatmaya çalışıyorum... kapanmıyor! Olmuyor, kapanmıyor! Kapanm..."
"b01_sci01_whereami"	"Neredeyim ben? Buradan gitmeliyim!"
"b01_sci02_briefcase"	"Sen, elinde çanta olan. Buradan çıkmama yardım etmelisin!"
"b01_sci03_sirplease"	"Alo? Nereye gidiyorsun? Bayım! Lütfen!"
"overhere"	"Pıst, buraya bak."


//Barney
"ba_door0"	"O kapıyı açayım."
"ba_door1"	"O kapıyı sizin için açayım."
"ba_attacking0"	"Arkama geçin, hanımefendi!"
"ba_attacking1"	"Ateş açın!"
"ba_attacking2"	"Sizi koruyacağım!"
"ba_becareful0"	"Hanımlar, orada dikkat edin."
"ba_becareful1"	"Hey, bir canavara ya da başka bir şeye yemek olmamaya çalışın, olur mu?"
"ba_cure0"	"O yaranın bir an önce tedavi görmesi gerek."
"ba_cure1"	"Bunu söylemekten nefret ediyorum ama kötü durumdasın."
"ba_hello0"	"Doktor."
"ba_hello1"	"Hanımefendi."
"ba_help0"	"İzin verin, onu sizin için ben halledeyim."
"ba_ht01_01"	"Günaydın, doktor. Doktor. Görünüşe bakılırsa ikiniz bugün tam zamanında geldiniz."
"ba_ht01_02"	"Korkarım sistemle ilgili bir sorun çıktı, bu yüzden ikiniz de güvenlik veritabanından silinmiş olabilirsiniz. Beni kapıya kadar takip ederseniz, hepsini çözebileceğiniz yere götürebilirim."
"ba_ht01_03"	"Demek büyük gün bugün, ha? Patron bugün geldiğinde bayağı heyecanlıydı. Yeni eleman Dr. Freeman hakkında konuşuyordu. Umarım bugün her şey yolunda gider."
"ba_ht01_04"	"Peki, bu sadece birkaç saniye sürecek."
"ba_ht01_05"	"Oldu işte. Deneyden sonra görüşürüz."
"ba_ht01_06"	"Buradan geçmenize izin vermeden önce kendinizi kaydettirmeniz gerekecek. Köşeden dönüp bir bakının."
"ba_ht06_01"	"Her yerde askerler var! Herkesi öldürüyorlar!"
"ba_ht06_02_alt"	"Yardım et!"
"ba_ht06_03"	"Dostum, seni gördüğüme sevindim."
"ba_ht06_03_alt"	"Dostum, seni gördüğüme sevindim."
"ba_ht06_04"	"Evet, güvenlik istasyonunun giriş şifreleri bende var ama oradaki askerler temizlenene kadar buradan ayrılmayacağım. Temizleyemezsen, belki de tuzağa düşürebilirsin. Her halükarda, Buradan ayrılmak benim için güvenli değil."
"ba_ht06_05"	"Evet, güvenlik istasyonunun giriş şifreleri bende var. Gidelim."
"ba_ht06_06"	"O askerleri etkisiz hale getirene ya da sıkıştırana kadar seninle gelmeyeceğim. Çok tehlikeli."
"ba_ht06_07"	"Sana söyledim, o askerler etrafta koşturdukça bir yere gidemem."
"ba_ht06_08"	"Dinle, seni koruyan HEV giysin var. Oraya gidersem, o askerler beni öldürür! Onlarla ilgilen, ben de seni takip edeyim."
"ba_ht06_09"	"Başaramayacağından korkmuştum. Neyse, güvenlik istasyonuna gidelim. Sen önden git."
"ba_ht06_10"	"Bu kapı kilitli. Konsoldan devreye sokabilecek misin bak bakalım."
"ba_ht06_11"	"Bende tabii. Bir planın var mı?"
"ba_ht08_01"	"Hiçbir şey bilmiyorum! Bilim ekibinde bile değilim!"
"ba_ht08_01_alt"	"Hiçbir şey bilmiyorum! Bilim ekibinde bile değilim!"
"ba_ht08_01_alt2"	"Hiçbir şey bilmiyorum! Bilim ekibinde bile değilim!"
"ba_ht08_02"	"Hey, nereden geldin seni? Birbirimize destek olmalıyız, burası askerlerle kaynıyor!"
"ba_ht08_03"	"Hey, siz ikinizin burada ne işi var? Siper alın! Her yerde askerler var!"
"ba_idle0"	"Yani, tüm bunların sonunda bizim için bir gelecek olduğunu düşünüyorsun."
"ba_idle1"	"Merak etme tatlım, yanındayım."
"ba_idle2"	"Endişelenmeyin, hanımefendi. Ben eğitimli bir profesyonelim."
"ba_idle3"	"Söylememde sakınca yoksa, üzerindeki HEV giysisi sana bayağı yakışmış."
"ba_idle4"	"O giysideki turuncu gözlerini ortaya çıkarıyor."
"ba_idle5"	"Turuncu sana yakışıyor."
"ba_idle6"	"O silahı tutuş şeklin hoşuma gitti."
"ba_kill0"	"Sorun değil, hanımefendi, onu hakladım!"
"ba_kill1"	"Bu iyi bir atıştı."
"ba_kill2"	"Ateş etmeyi nereden öğrendin?"
"ba_lead0"	"Sanırım şu yönden."
"ba_lead1"	"Bu taraftan."
"ba_lead2"	"Beni takip etmelisin."
"ba_mad0"	"Hey, geri çekil!"
"ba_mad1"	"Bunu yapmak zorunda kalmaktan nefret ediyorum."
"ba_mad2"	"Seni deli kadın!"
"ba_mad3"	"Bir erkek yapması gerekeni yapmalı!"
"ba_ok0"	"Elbette, hanımefendi."
"ba_ok1"	"Hanımlar önden."
"ba_ok2"	"Önden buyur."
"ba_ok3"	"Benimle güvende olacaksın."
"ba_ok4"	"Her zaman bana bunu sormanı istemişimdir."
"ba_ok5"	"Hemen arkanda olacağım."
"ba_plfear0"	"Dikkat et hanımefendi, o bir dost!"
"ba_pok0"	"Üzgünüm hanımefendi, şu anda görev yerimden ayrılamam."
"ba_pok1"	"Sohbet etmek isterdim ama şu anda görevdeyim."
"ba_pok2"	"Bunu daha sonra yapabilir miyiz?"
"ba_pok3"	"Hey, ne diyecektim, belki daha sonra film izleyebiliriz?"
"ba_shot0"	"Dikkat et, hanımefendi!"
"ba_shot1"	"Hayda! Tam da arkadaş oluyoruz sanmıştım!"
"ba_shot2"	"Vay canına, biri sana o şeyi kullanmayı öğretmeli!"
"ba_stare0"	"Hım?"
"ba_stare1"	"Merhaba!"
"ba_stare2"	"Bana yakın dur, tatlım!"
"ba_stare3"	"Bunu birlikte atlatacağız."
"ba_stop0"	"Üzgünüm hanımefendi, ayak uyduramıyorum."
"ba_stop1"	"Geride kalmak zorundayım."
"ba_wait0"	"Bensiz iyi olacak mısın?"
"ba_wait1"	"Şu anda yalnız kalmaman gerektiğini düşünüyorum."
"ba_wait2"	"Bana ihtiyacın olursa burada olacağım."
"ba_wait3"	"Bana soğuk yapmıyorsun, değil mi?"
"ba_wait4"	"İyi bir takım olduğumuzu sanıyordum."


//Keller
"dk_01_cascade"	"Bırak şimdi onu, az önce bir yankılaşım çağlayanına şahit olduk!"
"dk_01_collapsed"	"Başarısız oldular işte! Bütün çevreleme sistemi çöktü! Bu bir yankılaşım çağlayanı, Dr. Rosenberg."
"dk_01_concern"	"Endişeni anlıyorum doktor ancak yönetici oldukça netti."
"dk_01_decision"	"Bu sizin vereceğiniz bir karar değil. Şimdi, kalıp deneyi gözetlemek isterseniz, öyle yapın. Aksi takdirde, tren durağının oradaki küçük laboratuvarınıza geri dönebilirsiniz."
"dk_01_failed"	"Bastırma alanları başarısız oldu!"
"dk_01_finished"	"Sanırım görüşmemiz bitti, Doktor Rosenberg."
"dk_01_gonewrong"	"Bir şeyler ters gitti. Doktor Tolman manyetik yükleyicileri kesti."
"dk_01_gottodeal"	"Olmaz! Bu sorunla ilgilenmemiz gerek. Başkalarının o bastırma alanlarını sıfırılamanın önemini anlamasını bekleyemeyiz. Onları sıfırlamazsak, boyutsal yarık tamir edemeyeceğiz bir seviyede yırtılabilir."
"dk_01_kleiner"	"Dürüst olmak gerekirse, Kleiner o çocukta ne görüyor anlamıyorum."
"dk_01_late"	"Ah, merhaba hanımlar. Birilerinin zamanında işe geliyor olması güzelmiş. Doktor Freeman geç kaldı, yine."
"dk_01_needspect"	"Devam etmek için tayfölçerin %105 seviyeye getirilmesi gerekiyor. Hanımlar, lütfen güvenlik kilidini devre dışı bırakıp ayarlamaya devam edin."
"dk_01_plan"	"Hanımlar, bir plan hazırladık. Rosenberg'e yüzeye kadar eşlik etmeniz ve yardım çağırması için destek olmanız gerek. Ben tekerlekli sandalyemle yapamam. Ben geride kalıp donanımıma gelen hasarı ve çağlayanın kapsamını değerlendireceğim. Belki neyin ters gittiğini ve işleri nasıl yoluna koyabileceğimize dair bir ipucu bulurum."
"dk_01_rosenberg"	"Ah, merhaba, Dr. Rosenberg. Şu an tam da bir şeyin ortasındaydık, o yüzden şayet çık..."
"dk_01_shortcut"	"Servis asansörünü çalıştırayım. Alıştırma alanından geçip sizi yüzeye çıkartacak bir kısayol var. İyi şanslar."
"dk_01_spectrom"	"Hanımlar, Anti-Kütle Tayfölçeri'ni %105 güce getirmenin zamanı geldi. Doktor Cross, ayarlamanın gerçekleşmesi için güvenlik kilitlerini devre dışı bırakmalısınız."
"dk_01_started"	"Her neyse, biz başlayalım. Dr. Freeman yukarıda işlerini hallederken, deneye başlamak isteyecekler, bu yüzden örneği almanız gerekiyor, Dr. Cross ve Dr. Green'i de diğer hazırlıkları yapması için deney odasına alacağım."
"dk_01_storage"	"Doktor Cross, örnek depolama bölgesi şu kapının arkasında ve Doktor Green, size deney odasında ihtiyacımız var. Biz deneyi buradan gözetleyeceğiz."
"dk_01_survived"	"Belki de haklısın. Dr. Cross ve Dr. Green hayatta kalmış olabilirler. Eğer yaşıyorlarsa, bize yardımcı olabilirler. Bu terminalden onları bulmaya çalışacağım."
"dk_01_tolman"	"Doktor Tolman, ikincil manyetik yükleyicileri çalıştırır mısınız?"
"dk_01_yesgood"	"Evet, güzel!"
"dk_03_notime"	"İyi iş çıkardınız ama orduyu bekleyecek zamanımız yok. Ekibe derhal burada ihtiyacım var! Bastırma alanları ciddi seviyeye geldi ve derhal sıfırlanmaları gerekiyor."
"dk_04_bewary"	"Dikkatli olun, dostlarım. Kilitlerin sıfırlanması muhtemelen basınç tahliye vanalarına oldukça fazla yük bindirecektir ve yer değiştirme aktivitesinin artmasına neden olabilir."
"dk_04_bringtram"	"Ulaşım sistemine erişip bize çalışan bir tren getirtebilecek miyim bakayım. Korkarım yarığı her ne açık tuttuysa bunu kasıtlı olarak yaptı, dostlarım. Bu uzaylıların hepsi kazara burada olmayabilir."
"dk_04_bulkhead"	"İkincil bastırma kilitleri sıfırlanana kadar acil durum bölmesi açılmaz."
"dk_04_disenergy"	"Bölgenizdeki yer değiştirme enerjisi artıyor. Kilidi çabucak sıfırlamalısınız!"
"dk_04_excellent"	"Mükemmel. Tesisin herhangi bir yerinde sizinle iletişim kurabileceğim."
"dk_04_goonway"	"Devam edin."
"dk_04_ididit"	"Başardım, yer değiştirme alanları kapandı. Kahretsin, bizi ikinci defa yüzüstü bırakıyorlar!"
"dk_04_interfere"	"Bir terslik var. Sanırım yarığın diğer tarafından bir şey engel oluyor."
"dk_04_letssee"	"Bölgenin ne durumda olduğuna bakalım."
"dk_04_monsters"	"Ve gelsin bakalım canavarlar."
"dk_04_onwaythen"	"Yola çıkın hadi."
"dk_04_otherdamp"	"İkincil bastırma kilitleri üst katta, en az bir kat üstümüzde. Belki de iki."
"dk_04_primlock"	"Birincil bastırma kilidi geçiş yollarına bakıyor."
"dk_04_primreset"	"Birincil kilit sıfırlandı, o bölgedeki yer değiştirme enerjisi şaşırtıcı seviyede! Sıkı tutunun, bu zor olacak."
"dk_04_resetdamp"	"Bastırma alanını sıfırlamak için, bastırma kilitlerini elle sıfırlamanız gerekecek. İki tane ikincil ve bir tane de birincil kilit var. Bastırma kanalları çok büyük, bu yüzden kilitleri bulmak zor olmamalı."
"dk_04_resetnow"	"Kilidi hemen sıfırlamalısınız! Eğer yapmazsanız kanal patlayacak."
"dk_04_secfirst"	"Şimdi, önce ikincil kilitleri sıfırlamanız gerekecek. Yalnızca birincil kanal tam bir akışı destekleyecek kadar güçlü ve dürüst olmam gerekirse dayanabileceğini garanti edemem."
"dk_04_testing"	"Deneme. Deneme."
"dk_04_toomuch"	"Çok fazla baskı var. Acil kapatım yapmaya çalışıyorum."
"dk_04_transmit"	"Bu konsolu, sinyali doğrudan giysinizin ses sistemine iletmek için kullanabilirim. Bir deneyelim."
"dk_04_weakspot"	"Tren hatlarının üzerindeki kanal koridorunda zayıf bir nokta buldum. Kilidi sıfırlarken gözünüzü dört açın."
"dk_05_gladalive"	"Hayatta olduğuna sevindim ancak bana bir güvenlik görevlisi getirene dek görevimiz tamamlanmış sayılmaz."
"dk_05_gotodorms"	"Ne yazık ki, teslimat roketi 'her şey yolunda' kodları olmadan fırlatılamaz. Bu yurt tesisindeki herhangi bir güvenlik görevlisinin ihtiyacımız olan kodlara erişimi vardır. Ben trenle daha sonra sizi alabileceğimiz kuzey bölgesine gideceğim. İyi şanslar."
"dk_05_havecode"	"Uydu teslimat roketi için geçerli 'her şey yolunda' kodlarının sende olduğunu varsayıyorum?"
"dk_05_haveguard"	"Ah, görevliyi bulmuşsunuz. İyi iş çıkardınız."
"dk_05_mustseal"	"Burası ile uzaylı dünyası arasındaki boyutsal yarık kapatılmalı. Bir yankılaşım tersinimi düzenlemek için uyduyu yörüngeye oturtmamız gerekecek. Uydunun sinyal odası yakınlarda."
"dk_05_needcodes"	"Teslimat roketi 'her şey yolunda' kodları olmadan fırlatılamaz. Kodlara sahip olan bir güvenlik görevlisi bulmadan dönmeyin."
"dk_05_needguard"	"Buradan ayrılmadan önce bir güvenlik görevlisi bulmanız gerekecek. İhtiyacımız olan kodları bilen sadece onlar var."
"dk_05_nofoolish"	"Budalalık yapacak zamanımız yok, oraya gidip bir güvenlik görevlisi bulun."
"dk_05_onceorbit"	"Var, uydu yörüngeye girdiği zaman, Dünya ile uzaylı dünyası arasındaki yarığı kapatabilecek bir yankılaşım tersinimi düzenleyebiliriz."
"dk_05_otherside"	"Diğer tarafta görüşürüz!"
"dk_07_basement"	"Gina? Colette? Beni duyabiliyor musunuz? Black Mesa hava denetimi binasının bodrumundasınız. Denetim odasını bulmalısınız. Hava sahası ekranını 'her şey yolunda' kodlarını göndermek için ayarlayın ki Lambda laboratuvarındakiler teslimat roketini fırlatıp uyduyu mevziye oturtabilsinler. Buradan önünüzdeki güvenlik kapısını açabilirim ama korkarım diğer elektrikli kapılar uzaktan erişim imkanı sunmuyor. Onları içeriden açmanız gerekecek."
"dk_07_lockout"	"Sinyal donanımı yalnızca trafik denetimi sistemleri kilitlendiğinde işlevsel olacaktır. 'Her şey yolunda' sinyalini gönderebilmek için sistemin devrede olması gerekir."
"dk_07_online"	"Görünüşe göre sinyal devreye giriyor. Bekleyin... 'Her şey yolunda' sinyalini alıyorum, başardınız!"
"dk_10_beacon"	"İşaretçiyi kullanabilmek için önce yükseltmeliyiz. Buradan yapamıyorum ve bodrum denetimlerine giden bakım kapağı kilitli. İşaretçiyi elle kaldırmanız gerekecek. Onu bulduğunuzda sizinle tekrar iletişime geçeceğim."
"dk_10_goingon"	"Aşağıda neler oluyor? Bu ekipmanı kaybetmeyi göze alamayız, bu bizim tek şansımız! İşaretçiyi yükseltmenin bir yolunu bulmalısınız ve Tanrı aşkına, onu tek parça halinde tutmalısınız!"
"dk_10_jammed"	"Zamanımız azaldığı için hızlı çalışmanız gerekecek. Yüzey kapağı açılmadığına göre işaretçi asansörü sıkışmış olmalı. Engelleyen şeyi temizleyin ve işaretçiyi yükseltmek için denetimleri kullanın."
"dk_10_receiving"	"Gina? Colette? Sesimi alıyor musunuz? Gamma Laboratuvarları'na vardık. Üzerinde bir yankılaşım tersinimi gerçekleştirmemiz gereken yer değiştirme işaretçisi konumunuza yakın."
"dk_10_working"	"Ekipmanlarım bana yer değiştirme işaretçisinin sorunsuz çalıştığını gösteriyor. İyi iş çıkardınız! Gamma Laboratuvarları'na gelin, fazla zamanımız yok."
"dk_11_activate"	"Laboratuvara gidip cihazı devreye sokmanız gerek. Kapıları gereğinden fazla açık tutmak istemiyorum."
"dk_11_bothin"	"Sizi yukarı çıkarabilmem için ikinizinde asansörde olmanız lazım."
"dk_11_elevator"	"İkiniz de içeri girince asansörü uzaktan çalıştıracağım."
"dk_11_goodwork"	"İyi iş çıkardınız. Işın dizeyinin devreye girmesiyle, bir yankılaşım tersinimine kalkışabiliriz. Oldukça etkili bir takım olmuşuza benziyor ancak asıl olay burada başlıyor. Yarık tehlikeli bir şekilde genişledi ve çok geç kalmış bile olabiliriz. Hemen harekete geçmeliyiz!"
"dk_11_greatdone"	"Harika, başardınız! Asansöre geri dönün, ikiniz de."
"dk_11_matrixact"	"Işın dizeyi devreye sokulmadan sizi geri getiremem!"
"dk_11_unlock"	"Sizin için kapıları kısa bir süreliğine açacağım. Sizi laboratuvar alanına götürecek asansörü uzaktan çalıştırabilirim. Sonra cihazı açmak size kalmış olacak."
"dk_11_upstairs"	"Merdivenlerden çıkınca uzaylı karantina laboratuvarlarına erişebilirsiniz. Korkarım orada çalışan bilim insanları, üzerinde çalıştıkları yaratıklar tarafından ortadan kaldırılmış olabilirler. Sizden oraya girmenizi ve yer değiştirme işaretçisine güç veren bir ışın dizeyini devreye sokmanızı istiyoruz. Sistemi devreye sokarken pek bir destek bulamazsınız ama eminim aldığınız eğitim sayesinde pek de zorlanmazsınız."
"dk_12_allactive"	"Bütün billurlar devrede! Tersinime artık başlayacağız, işaretçiyi her ne pahasına olursa olsun korumalısınız!"
"dk_12_attbeacon"	"İşaretçiye saldırdı! İşaretçi yok olursa, tersinim başarısız olur. O şeyi yok etmelisiniz!"
"dk_12_beacon1"	"Yer değiştirme işaretçisini etkinleştiriyorum."
"dk_12_blastbunker"	"Buraya kadar geldik ve şimdi başarısız olursak adam değilim. Geride kalın, o sığınağı açacağım şimdi!"
"dk_12_bunker"	"Sizin orada bir cephane deposu var. Güvenlik kilidini geçersiz kılıp orayı açmaya çalışacağım. Eminim ki fazladan ateş gücü işinize yarayacaktır."
"dk_12_bunkerfail"	"Lanet olsun! Güvenlik sistemi depo kapısına giden gücü kesti! Oraya hiçbir şekilde giremeyiz artık."
"dk_12_bunkeropen"	"Güvenlik kilitlerini etkisizleştirdik! Şu anda cephane sığınağını açıyorum."
"dk_12_critical1"	"Billuru konumlandırmazssanız, öleceğiz burada!"
"dk_12_critical2"	"Neyle karşı karşıya olduğumuzu anlamıyor musun? Tanrı aşkına, saatler içinde! Billuru konumlandırın!"
"dk_12_deploy1"	"Billurlardan birini konumlandırmanız için hazırız."
"dk_12_donewell"	"İyi iş çıkardınız ancak işimiz tam olarak bitmedi. Vadi duvarlarında bulunan büyük billurları yüklemek için yer değiştirme işaretçisinin odak yayıcısını kullanmanız gerekiyor. Yüklendikten sonra, yankılaşım tersinimini başlatmak için onları kullanacağım. O billurlar bastırma alanlarından çok daha etkili olacaktır."
"dk_12_dontcare"	"…aşırı yüklenirse yüklensin, o güce ihtiyacımız var, yap hadi!"
"dk_12_failed"	"O şey işaretçiyi yok etti, sistem aşırı yükleniyor! Başarısız oldunuz! Hepimizi öldürdünüz!"
"dk_12_final20"	"Işın miksefesi yüzde yirmiye yüklendi."
"dk_12_final75"	"Işın miksefesi yüzde yetmiş beşte."
"dk_12_final100"	"Yüzde yüz oldu, sonuncu billuru yerleştirebilirsiniz!"
"dk_12_first100"	"Işın dizeyi devrede. Yer değiştirme işaretçisi çalışır durumda. Işın miksefesi yüzde yüz yüklemeye ulaştı. Başlıyoruz!"
"dk_12_firstgo"	"İlk billuru yüklemeye 3... 2... 1."
"dk_12_followme"	"Beni takip edin."
"dk_12_iiii"	"Ben..."
"dk_12_mindopen"	"Bu kapıyı benim için açar mısınız?"
"dk_12_netting"	"Bu tesis normalde bir çeşit boyutlar arası ağ alanı olarak kullanılıyordu. Xen'e gidip onları ele geçirme tehlikesi olmadan organik uzaylı örnekleri topluyordu."
"dk_12_radio"	"...aşırı yüklenirse yüklensin, o güce ihtiyacımız var, yap hadi!"
"dk_12_second50"	"Işın miksefesi yüzde ellide."
"dk_12_second80"	"Işın miksefesi artık yüzde seksende."
"dk_12_second90"	"Yüzde doksan..."
"dk_12_second100"	"Işın miksefesi yüzde yüze ulaştı, ikinci billuru yerleştirin."
"dk_12_success"	"Gina? Colette? İyi olacaksınız. Bir anlığına bir uyumlu geriakıma kapıldınız. İki yer değiştirme olayı akımı arasındaki boşlukta dönen girdaplardan biri. Ama diğer akımı kimin yarattığını tahmin edemiyorum. Neyse, önemi yok artık. Dinlenin, dostlarım. Başardık!"
"dk_12_surge"	"Güç dalgalanması algılıyorum. Yarıktan, büyük bir şey geliyor!"
"dk_12_thisisbad"	"Durum kötü! İşaretçinin o şeyden bir darbeye daha dayanabileceğini zannetmiyorum."
"dk_12_whenstart"	"Billuru yüklemeye başladığınızda, uzaylı güçleri bunun farkına varıp sizi durdurmaya çalışacaktır. Bu zamana kadarkinden daha fazla düşmanla karşılaşmanız olası. Billurları olabildiğince çabuk yüklemelisiniz."
"dk_hello0"	"Size iyi günler, doktor."
"dk_hello1"	"Merhaba, doktor."
"dk_hello2"	"Ah, merhabalar."
"dk_hello3"	"Doktor Cross."
"dk_hello4"	"Doktor Green."
"dk_help0"	"Lanet olsun!"
